game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
6vgjcmphd6wm,2025-01-24,Q1,7:00,Jumpball (Mist gains possesion),0,0,Mist,
6vgjcmphd6wm,2025-01-24,Q1,6:43,Breanna Stewart misses two point shot,0,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,6:42,Natasha Cloud defensive rebound,0,0,Phantom,Natasha Cloud
6vgjcmphd6wm,2025-01-24,Q1,6:27,Natasha Cloud misses three point shot,0,0,Phantom,Natasha Cloud
6vgjcmphd6wm,2025-01-24,Q1,6:26,Breanna Stewart defensive rebound,0,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,6:20,Breanna Stewart makes two point shot,2,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,6:10,Katie Lou Samuelson misses two point shot,2,0,Phantom,Katie Lou Samuelson
6vgjcmphd6wm,2025-01-24,Q1,6:09,Courtney Vandersloot defensive rebound,2,0,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,5:59,Rickea Jackson misses two point shot,2,0,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,5:58,Natasha Cloud defensive rebound,2,0,Phantom,Natasha Cloud
6vgjcmphd6wm,2025-01-24,Q1,5:54,Satou Sabally misses two point shot,2,0,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,5:54,Rickea Jackson defensive rebound,2,0,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,5:47,Courtney Vandersloot assist,2,0,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,5:47,Breanna Stewart makes three point shot,5,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,5:30,Natasha Cloud misses two point shot,5,0,Phantom,Natasha Cloud
6vgjcmphd6wm,2025-01-24,Q1,5:30,Breanna Stewart defensive rebound,5,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,5:24,Breanna Stewart misses three point shot,5,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,5:23,Phantom defensive team rebound,5,0,Phantom,
6vgjcmphd6wm,2025-01-24,Q1,5:09,Satou Sabally misses two point shot,5,0,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,5:08,Breanna Stewart defensive rebound,5,0,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,5:03,Courtney Vandersloot assist,5,0,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,5:03,Rickea Jackson makes two point shot,7,0,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,4:49,Satou Sabally makes three point shot,7,3,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,4:49,Katie Lou Samuelson assist,7,3,Phantom,Katie Lou Samuelson
6vgjcmphd6wm,2025-01-24,Q1,4:33,Breanna Stewart makes two point shot,9,3,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,4:33,Courtney Vandersloot assist,9,3,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,4:17,Satou Sabally misses two point shot,9,3,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,4:16,Phantom offensive team rebound,9,3,Phantom,
6vgjcmphd6wm,2025-01-24,Q1,4:10,Natasha Cloud  out of bounds turnover,9,3,Phantom,Natasha Cloud  out of bounds
6vgjcmphd6wm,2025-01-24,Q1,3:59,Rickea Jackson makes two point shot,11,3,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,3:51,Natasha Cloud misses two point shot,11,3,Phantom,Natasha Cloud
6vgjcmphd6wm,2025-01-24,Q1,3:50,Rickea Jackson defensive rebound,11,3,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,3:44,Rickea Jackson makes two point shot,13,3,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,3:40,Phantom Full timeout,13,3,Phantom,
6vgjcmphd6wm,2025-01-24,Q1,3:31,Natisha Hiedeman assist,13,3,Phantom,Natisha Hiedeman
6vgjcmphd6wm,2025-01-24,Q1,3:31,Brittney Griner makes two point shot,13,5,Phantom,Brittney Griner
6vgjcmphd6wm,2025-01-24,Q1,3:19,Breanna Stewart assist,13,5,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,3:19,Rickea Jackson makes two point shot,15,5,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,3:03,Brittney Griner makes two point shot,15,7,Phantom,Brittney Griner
6vgjcmphd6wm,2025-01-24,Q1,2:52,Katie Lou Samuelson personal foul,15,7,Phantom,Katie Lou Samuelson
6vgjcmphd6wm,2025-01-24,Q1,2:52,Breanna Stewart makes free throw (2pt.),17,7,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,2:38,Courtney Vandersloot personal foul,17,7,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,2:38,Natisha Hiedeman makes free throw (2pt.),17,9,Phantom,Natisha Hiedeman
6vgjcmphd6wm,2025-01-24,Q1,2:22,Rickea Jackson makes three point shot,20,9,Mist,Rickea Jackson
6vgjcmphd6wm,2025-01-24,Q1,2:10,Satou Sabally misses two point shot,20,9,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,2:09,Brittney Griner offensive rebound,20,9,Phantom,Brittney Griner
6vgjcmphd6wm,2025-01-24,Q1,2:07,Brittney Griner makes two point shot,20,11,Phantom,Brittney Griner
6vgjcmphd6wm,2025-01-24,Q1,2:02,Courtney Vandersloot misses two point shot,20,11,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,2:01,Phantom defensive team rebound,20,11,Phantom,
6vgjcmphd6wm,2025-01-24,Q1,1:46,Satou Sabally makes two point shot,20,13,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,1:18,Natisha Hiedeman assist,20,13,Phantom,Natisha Hiedeman
6vgjcmphd6wm,2025-01-24,Q1,1:18,Brittney Griner makes two point shot,20,15,Phantom,Brittney Griner
6vgjcmphd6wm,2025-01-24,Q1,1:09,Courtney Vandersloot misses three point shot,20,15,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,1:08,Satou Sabally defensive rebound,20,15,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,1:01,Satou Sabally makes three point shot,20,18,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,0:49.9,Natisha Hiedeman personal foul,20,18,Phantom,Natisha Hiedeman
6vgjcmphd6wm,2025-01-24,Q1,0:49.9,Courtney Vandersloot makes free throw (2pt.),22,18,Mist,Courtney Vandersloot
6vgjcmphd6wm,2025-01-24,Q1,0:36.6,Natisha Hiedeman misses three point shot,22,18,Phantom,Natisha Hiedeman
6vgjcmphd6wm,2025-01-24,Q1,0:35.6,Aaliyah Edwards defensive rebound,22,18,Mist,Aaliyah Edwards
6vgjcmphd6wm,2025-01-24,Q1,0:26.0,Aaliyah Edwards makes two point shot,24,18,Mist,Aaliyah Edwards
6vgjcmphd6wm,2025-01-24,Q1,0:21.5,NaLyssa Smith personal foul,24,18,Mist,NaLyssa Smith
6vgjcmphd6wm,2025-01-24,Q1,0:21.5,Satou Sabally makes free throw (2pt.),24,20,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,9.7,NaLyssa Smith misses two point shot,24,20,Mist,NaLyssa Smith
6vgjcmphd6wm,2025-01-24,Q1,8.9,Natisha Hiedeman defensive rebound,24,20,Phantom,Natisha Hiedeman
6vgjcmphd6wm,2025-01-24,Q1,3.4,Satou Sabally  bad pass turnover,24,20,Phantom,Satou Sabally
6vgjcmphd6wm,2025-01-24,Q1,0.0,Breanna Stewart misses three point shot,24,20,Mist,Breanna Stewart
6vgjcmphd6wm,2025-01-24,Q1,0.0,End of the 1st Quarter,24,20,,
6vgjcmphd6wm,2025-01-24,Q2,6:49,Aaliyah Edwards  bad pass turnover,24,20,Mist,Aaliyah Edwards
6vgjcmphd6wm,2025-01-24,Q2,6:41,Satou Sabally makes three point shot,24,23,Phantom,Satou Sabally
