game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
cvf9757d5r0n,2025-02-08,Q1,,Timeout,0,0,,
cvf9757d5r0n,2025-02-08,Q1,7:00,Jumpball (Mist gains possesion),0,0,Mist,
cvf9757d5r0n,2025-02-08,Q1,6:48,Breanna Stewart misses two point shot,0,0,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,6:47,Napheesa Collier defensive rebound,0,0,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,6:39,Allisha Gray misses three point shot,0,0,Lunar Owls,Allisha Gray
cvf9757d5r0n,2025-02-08,Q1,6:39,Breanna Stewart defensive rebound,0,0,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,6:29,Rickea Jackson misses two point shot,0,0,Mist,Rickea Jackson
cvf9757d5r0n,2025-02-08,Q1,6:29,Napheesa Collier defensive rebound,0,0,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,6:20,Napheesa Collier misses three point shot,0,0,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,6:20,Breanna Stewart defensive rebound,0,0,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,6:13,Breanna Stewart misses two point shot,0,0,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,6:13,Napheesa Collier defensive rebound,0,0,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,6:07,Napheesa Collier misses three point shot,0,0,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,6:06,Rickea Jackson defensive rebound,0,0,Mist,Rickea Jackson
cvf9757d5r0n,2025-02-08,Q1,5:59,Rickea Jackson misses two point shot,0,0,Mist,Rickea Jackson
cvf9757d5r0n,2025-02-08,Q1,5:59,Napheesa Collier defensive rebound,0,0,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,5:50,Skylar Diggins-Smith misses two point shot,0,0,Lunar Owls,
cvf9757d5r0n,2025-02-08,Q1,5:50,Breanna Stewart defensive rebound,0,0,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,5:43,Jewell Loyd misses two point shot,0,0,Mist,Jewell Loyd
cvf9757d5r0n,2025-02-08,Q1,5:42,Allisha Gray defensive rebound,0,0,Lunar Owls,Allisha Gray
cvf9757d5r0n,2025-02-08,Q1,5:38,Skylar Diggins-Smith makes two point shot,0,2,Lunar Owls,
cvf9757d5r0n,2025-02-08,Q1,5:38,Allisha Gray assist,0,2,Lunar Owls,Allisha Gray
cvf9757d5r0n,2025-02-08,Q1,5:21,Breanna Stewart misses two point shot,0,2,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,5:21,Napheesa Collier defensive rebound,0,2,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,5:13,Allisha Gray misses three point shot,0,2,Lunar Owls,Allisha Gray
cvf9757d5r0n,2025-02-08,Q1,5:13,Napheesa Collier offensive rebound,0,2,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,5:11,Napheesa Collier makes two point shot,0,4,Lunar Owls,Napheesa Collier
cvf9757d5r0n,2025-02-08,Q1,4:59,Jewell Loyd assist,0,4,Mist,Jewell Loyd
cvf9757d5r0n,2025-02-08,Q1,4:59,Breanna Stewart makes two point shot,2,4,Mist,Breanna Stewart
cvf9757d5r0n,2025-02-08,Q1,4:50,Allisha Gray makes three point shot,2,7,Lunar Owls,Allisha Gray
cvf9757d5r0n,2025-02-08,Q1,4:36,Skylar Diggins-Smith personal foul,2,7,Lunar Owls,
cvf9757d5r0n,2025-02-08,Q1,4:36,Rickea Jackson makes free throw (2pt.),4,7,Mist,Rickea Jackson
