game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
f0yh4kyfe5iy,2025-01-31,Q1,7:00,Jumpball (Lunar Owls gains possesion),0,0,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,6:41,Napheesa Collier makes two point shot,2,0,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,6:41,Skylar Diggins-Smith assist,2,0,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,6:20,Tiffany Hayes misses three point shot,2,0,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,6:20,Lunar Owls defensive team rebound,2,0,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,6:11,Napheesa Collier  bad pass turnover,2,0,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,6:04,Tiffany Hayes misses three point shot,2,0,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,6:03,Allisha Gray defensive rebound,2,0,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q1,5:57,Allisha Gray misses two point shot,2,0,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q1,5:57,Kayla McBride personal foul,2,0,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,5:57,Allisha Gray makes free throw (2pt.),4,0,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q1,5:47,Napheesa Collier personal foul,4,0,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,5:47,Kayla McBride makes free throw (2pt.),4,2,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,5:38,Napheesa Collier misses three point shot,4,2,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,5:37,Kayla McBride defensive rebound,4,2,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,5:26,Kayla McBride assist,4,2,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,5:26,Tiffany Hayes makes two point shot,4,4,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,5:19,Allisha Gray makes three point shot,7,4,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q1,5:19,Skylar Diggins-Smith assist,7,4,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,5:05,Stefanie Dolson misses two point shot,7,4,Laces,Stefanie Dolson
f0yh4kyfe5iy,2025-01-31,Q1,5:04,Stefanie Dolson offensive rebound,7,4,Laces,Stefanie Dolson
f0yh4kyfe5iy,2025-01-31,Q1,5:02,Stefanie Dolson makes two point shot,7,6,Laces,Stefanie Dolson
f0yh4kyfe5iy,2025-01-31,Q1,4:54,Allisha Gray  bad pass turnover,7,6,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q1,4:38,Tiffany Hayes  lost ball turnover,7,6,Laces,Tiffany Hayes  lost ball
f0yh4kyfe5iy,2025-01-31,Q1,4:31,Skylar Diggins-Smith  backcourt violation turnover,7,6,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,4:24,Tiffany Hayes assist,7,6,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,4:24,Stefanie Dolson makes two point shot,7,8,Laces,Stefanie Dolson
f0yh4kyfe5iy,2025-01-31,Q1,4:14,Skylar Diggins-Smith misses three point shot,7,8,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,4:13,Tiffany Hayes defensive rebound,7,8,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,4:06,Tiffany Hayes makes two point shot,7,10,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,3:49,Allisha Gray misses two point shot,7,10,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q1,3:48,Tiffany Hayes defensive rebound,7,10,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,3:41,Skylar Diggins-Smith personal foul,7,10,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q1,3:35,Tiffany Hayes assist,7,10,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,3:35,Kayla McBride makes three point shot,7,13,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,3:26,Courtney Williams makes two point shot,9,13,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q1,3:10,Kate Martin  out of bounds turnover,9,13,Laces,Kate Martin  out of bounds
f0yh4kyfe5iy,2025-01-31,Q1,2:59,Napheesa Collier misses two point shot,9,13,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,2:58,Kayla McBride defensive rebound,9,13,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,2:49,Kayla McBride misses three point shot,9,13,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q1,2:49,Courtney Williams defensive rebound,9,13,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q1,2:40,Courtney Williams assist,9,13,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q1,2:40,Shakira Austin makes two point shot,11,13,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q1,2:19,Kate Martin makes two point shot,11,15,Laces,Kate Martin
f0yh4kyfe5iy,2025-01-31,Q1,2:03,Napheesa Collier makes two point shot,13,15,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,2:03,Shakira Austin assist,13,15,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q1,1:43,Tiffany Hayes makes three point shot,13,18,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,1:28,Shakira Austin misses two point shot,13,18,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q1,1:28,Shakira Austin offensive rebound,13,18,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q1,1:20,Courtney Williams assist,13,18,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q1,1:20,Napheesa Collier makes two point shot,15,18,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,1:00,Tiffany Hayes misses two point shot,15,18,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,1:00,Napheesa Collier defensive rebound,15,18,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,0:52.6,Shakira Austin  lost ball turnover,15,18,Lunar Owls,Shakira Austin  lost ball
f0yh4kyfe5iy,2025-01-31,Q1,0:44.6,Kate Martin misses three point shot,15,18,Laces,Kate Martin
f0yh4kyfe5iy,2025-01-31,Q1,0:44.1,Courtney Williams defensive rebound,15,18,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q1,0:35.9,Courtney Williams assist,15,18,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q1,0:35.9,Napheesa Collier makes two point shot,17,18,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q1,0:22.1,Tiffany Hayes makes two point shot,17,20,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q1,0:11.5,Shakira Austin  offensive foul turnover,17,20,Lunar Owls,Shakira Austin  offensive foul
f0yh4kyfe5iy,2025-01-31,Q1,0:11.5,Shakira Austin personal foul,17,20,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q1,1.3,Stefanie Dolson misses three point shot,17,20,Laces,Stefanie Dolson
f0yh4kyfe5iy,2025-01-31,Q1,0.5,Shakira Austin defensive rebound,17,20,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q1,0.0,End of the 1st Quarter,17,20,,
f0yh4kyfe5iy,2025-01-31,Q2,6:42,Natisha Hiedeman misses two point shot,17,20,Laces,Natisha Hiedeman
f0yh4kyfe5iy,2025-01-31,Q2,6:41,Allisha Gray defensive rebound,17,20,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,6:40,Natisha Hiedeman personal foul,17,20,Laces,Natisha Hiedeman
f0yh4kyfe5iy,2025-01-31,Q2,6:30,Allisha Gray misses three point shot,17,20,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,6:30,Natisha Hiedeman defensive rebound,17,20,Laces,Natisha Hiedeman
f0yh4kyfe5iy,2025-01-31,Q2,6:10,Natisha Hiedeman misses three point shot,17,20,Laces,Natisha Hiedeman
f0yh4kyfe5iy,2025-01-31,Q2,6:09,Shakira Austin defensive rebound,17,20,Lunar Owls,Shakira Austin
f0yh4kyfe5iy,2025-01-31,Q2,6:02,Jackie Young personal foul,17,20,Laces,Jackie Young
f0yh4kyfe5iy,2025-01-31,Q2,6:02,Allisha Gray makes free throw (2pt.),19,20,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,5:48,Jackie Young assist,19,20,Laces,Jackie Young
f0yh4kyfe5iy,2025-01-31,Q2,5:48,Stefanie Dolson makes two point shot,19,22,Laces,Stefanie Dolson
f0yh4kyfe5iy,2025-01-31,Q2,5:40,Jackie Young personal foul,19,22,Laces,Jackie Young
f0yh4kyfe5iy,2025-01-31,Q2,5:33,Courtney Williams misses two point shot,19,22,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q2,5:33,Jackie Young defensive rebound,19,22,Laces,Jackie Young
f0yh4kyfe5iy,2025-01-31,Q2,5:24,Jackie Young assist,19,22,Laces,Jackie Young
f0yh4kyfe5iy,2025-01-31,Q2,5:24,Kayla McBride makes three point shot,19,25,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q2,5:11,Napheesa Collier makes two point shot,21,25,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,5:11,Allisha Gray assist,21,25,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,5:11,Jackie Young personal foul,21,25,Laces,Jackie Young
f0yh4kyfe5iy,2025-01-31,Q2,5:11,Napheesa Collier makes free throw (1pt.),22,25,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,4:58,Allisha Gray personal foul,22,25,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,4:58,Tiffany Hayes misses free throw (2pt.),22,25,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q2,4:57,Napheesa Collier defensive rebound,22,25,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,4:50,Courtney Williams makes two point shot,24,25,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q2,4:37,Allisha Gray personal foul,24,25,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,4:27,Kayla McBride misses two point shot,24,25,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q2,4:27,Laces offensive team rebound,24,25,Laces,
f0yh4kyfe5iy,2025-01-31,Q2,4:25,Kate Martin misses two point shot,24,25,Laces,Kate Martin
f0yh4kyfe5iy,2025-01-31,Q2,4:24,Napheesa Collier defensive rebound,24,25,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,4:19,Courtney Williams misses two point shot,24,25,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q2,4:19,Kate Martin defensive rebound,24,25,Laces,Kate Martin
f0yh4kyfe5iy,2025-01-31,Q2,4:10,Tiffany Hayes misses two point shot,24,25,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q2,4:10,Allisha Gray defensive rebound,24,25,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,4:05,Allisha Gray makes two point shot,26,25,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,3:56,Tiffany Hayes makes two point shot,26,27,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q2,3:44,Napheesa Collier makes two point shot,28,27,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,3:44,Courtney Williams assist,28,27,Lunar Owls,Courtney Williams
f0yh4kyfe5iy,2025-01-31,Q2,3:29,Tiffany Hayes assist,28,27,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q2,3:29,Kayla McBride makes three point shot,28,30,Laces,Kayla McBride
f0yh4kyfe5iy,2025-01-31,Q2,3:27,Timeout,28,30,,
f0yh4kyfe5iy,2025-01-31,Q2,3:15,Skylar Diggins-Smith misses three point shot,28,30,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q2,3:15,Lunar Owls offensive team rebound,28,30,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q2,3:15,Tiffany Hayes personal foul,28,30,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q2,3:15,Napheesa Collier makes free throw (2pt.),30,30,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,2:57,Tiffany Hayes misses two point shot,30,30,Laces,Tiffany Hayes
f0yh4kyfe5iy,2025-01-31,Q2,2:56,Allisha Gray defensive rebound,30,30,Lunar Owls,Allisha Gray
f0yh4kyfe5iy,2025-01-31,Q2,2:52,Napheesa Collier personal foul,30,30,Lunar Owls,Napheesa Collier
f0yh4kyfe5iy,2025-01-31,Q2,2:43,Skylar Diggins-Smith personal foul,30,30,Lunar Owls,
f0yh4kyfe5iy,2025-01-31,Q2,2:34,Kayla McBride misses two point shot,30,30,Laces,Kayla McBride
