game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
m9sh1b3jm0p1,2025-01-20,Q4,38:06,Timeout,0,0,,
m9sh1b3jm0p1,2025-01-20,Q1,7:00,Jumpball (Phantom gains possesion),0,0,Phantom,
m9sh1b3jm0p1,2025-01-20,Q1,6:51,Sabrina Ionescu misses three point shot,0,0,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q1,6:50,Rhyne Howard defensive rebound,0,0,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,6:38,Rhyne Howard misses two point shot,0,0,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,6:38,Natasha Cloud personal foul,0,0,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,6:38,Vinyl offensive team rebound,0,0,Vinyl,
m9sh1b3jm0p1,2025-01-20,Q1,6:36,Dearica Hamby  offensive foul turnover,0,0,Vinyl,Dearica Hamby  offensive foul
m9sh1b3jm0p1,2025-01-20,Q1,6:36,Dearica Hamby personal foul,0,0,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,6:26,Natasha Cloud misses three point shot,0,0,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,6:25,Arike Ogunbowale defensive rebound,0,0,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,6:19,Arike Ogunbowale misses two point shot,0,0,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,6:18,Rhyne Howard offensive rebound,0,0,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,6:15,Satou Sabally personal foul,0,0,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,6:15,Rhyne Howard assist,0,0,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,6:15,Arike Ogunbowale makes two point shot,0,2,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,6:15,Arike Ogunbowale makes free throw (1pt.),0,3,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,6:02,Sabrina Ionescu makes two point shot,2,3,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q1,5:46,Dearica Hamby misses two point shot,2,3,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,5:45,Natasha Cloud defensive rebound,2,3,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,5:36,Sabrina Ionescu  travel turnover,2,3,Phantom,Sabrina Ionescu  travel
m9sh1b3jm0p1,2025-01-20,Q1,5:21,Rhyne Howard misses three point shot,2,3,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,5:20,Rhyne Howard offensive rebound,2,3,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,5:15,Rhyne Howard assist,2,3,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,5:15,Dearica Hamby makes two point shot,2,5,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,5:08,Sabrina Ionescu  travel turnover,2,5,Phantom,Sabrina Ionescu  travel
m9sh1b3jm0p1,2025-01-20,Q1,4:49,Dearica Hamby makes two point shot,2,7,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,4:49,Arike Ogunbowale assist,2,7,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,4:41,Satou Sabally makes three point shot,5,7,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,4:29,Satou Sabally personal foul,5,7,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,4:29,Rhyne Howard makes free throw (2pt.),5,9,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,4:16,Natasha Cloud  lost ball turnover,5,9,Phantom,Natasha Cloud  lost ball
m9sh1b3jm0p1,2025-01-20,Q1,4:11,Rhyne Howard misses three point shot,5,9,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,4:10,Natasha Cloud defensive rebound,5,9,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,4:05,Dearica Hamby personal foul,5,9,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,4:05,Natasha Cloud makes free throw (2pt.),7,9,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,3:51,Dearica Hamby assist,7,9,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,3:51,Arike Ogunbowale makes two point shot,7,11,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,3:32,Satou Sabally  bad pass turnover,7,11,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,3:32,Phantom Full timeout,7,11,Phantom,
m9sh1b3jm0p1,2025-01-20,Q1,3:20,Arike Ogunbowale misses three point shot,7,11,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,3:19,Satou Sabally defensive rebound,7,11,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,3:11,Satou Sabally makes two point shot,9,11,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,2:59,Rhyne Howard misses two point shot,9,11,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q1,2:58,Natasha Cloud defensive rebound,9,11,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,2:48,Satou Sabally misses three point shot,9,11,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q1,2:47,Arike Ogunbowale defensive rebound,9,11,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,2:38,Arike Ogunbowale assist,9,11,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,2:38,Dearica Hamby makes two point shot,9,13,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q1,2:30,Arike Ogunbowale personal foul,9,13,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,2:30,Natasha Cloud makes free throw (2pt.),11,13,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q1,2:16,Arike Ogunbowale misses two point shot,11,13,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q1,2:12,Sabrina Ionescu defensive rebound,11,13,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q1,1:56,Rae Burrell makes two point shot,11,15,Vinyl,Rae Burrell
m9sh1b3jm0p1,2025-01-20,Q1,1:43,Aliyah Boston personal foul,11,15,Vinyl,Aliyah Boston
m9sh1b3jm0p1,2025-01-20,Q1,1:43,Brittney Griner makes free throw (2pt.),13,15,Phantom,Brittney Griner
m9sh1b3jm0p1,2025-01-20,Q1,1:30,Aliyah Boston misses two point shot,13,15,Vinyl,Aliyah Boston
m9sh1b3jm0p1,2025-01-20,Q1,1:29,Brittney Griner defensive rebound,13,15,Phantom,Brittney Griner
m9sh1b3jm0p1,2025-01-20,Q1,1:17,Brittney Griner misses two point shot,13,15,Phantom,Brittney Griner
m9sh1b3jm0p1,2025-01-20,Q1,1:15,Jordin Canada defensive rebound,13,15,Vinyl,Jordin Canada
m9sh1b3jm0p1,2025-01-20,Q1,1:10,Jordin Canada makes two point shot,13,17,Vinyl,Jordin Canada
m9sh1b3jm0p1,2025-01-20,Q1,0:58.4,Katie Lou Samuelson makes two point shot,15,17,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q1,0:58.4,Natisha Hiedeman assist,15,17,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q1,0:49.4,Rae Burrell misses two point shot,15,17,Vinyl,Rae Burrell
m9sh1b3jm0p1,2025-01-20,Q1,0:48.6,Katie Lou Samuelson defensive rebound,15,17,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q1,0:43.6,Katie Lou Samuelson  bad pass turnover,15,17,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q1,0:38.4,Rae Burrell  bad pass turnover,15,17,Vinyl,Rae Burrell
m9sh1b3jm0p1,2025-01-20,Q1,0:33.9,Katie Lou Samuelson  bad pass turnover,15,17,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q1,0:15.7,Aliyah Boston misses two point shot,15,17,Vinyl,Aliyah Boston
m9sh1b3jm0p1,2025-01-20,Q1,0:15.0,Aliyah Boston offensive rebound,15,17,Vinyl,Aliyah Boston
m9sh1b3jm0p1,2025-01-20,Q1,0:12.0,Katie Lou Samuelson personal foul,15,17,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q1,0:12.0,Aliyah Boston makes free throw (2pt.),15,19,Vinyl,Aliyah Boston
m9sh1b3jm0p1,2025-01-20,Q1,2.3,Natisha Hiedeman makes three point shot,18,19,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q1,7:00,End of the 1st Quarter,18,19,,
m9sh1b3jm0p1,2025-01-20,Q2,6:47,Jordin Canada misses two point shot,18,19,Vinyl,Jordin Canada
m9sh1b3jm0p1,2025-01-20,Q2,6:46,Brittney Griner defensive rebound,18,19,Phantom,Brittney Griner
m9sh1b3jm0p1,2025-01-20,Q2,6:41,Katie Lou Samuelson makes three point shot,21,19,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q2,6:41,Natisha Hiedeman assist,21,19,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q2,6:23,Rae Burrell makes two point shot,21,21,Vinyl,Rae Burrell
m9sh1b3jm0p1,2025-01-20,Q2,6:08,Natisha Hiedeman misses three point shot,21,21,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q2,6:07,Jordin Canada defensive rebound,21,21,Vinyl,Jordin Canada
m9sh1b3jm0p1,2025-01-20,Q2,6:02,Jordin Canada misses two point shot,21,21,Vinyl,Jordin Canada
m9sh1b3jm0p1,2025-01-20,Q2,6:01,Natisha Hiedeman defensive rebound,21,21,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q2,5:53,Katie Lou Samuelson misses two point shot,21,21,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q2,5:52,Jordin Canada defensive rebound,21,21,Vinyl,Jordin Canada
m9sh1b3jm0p1,2025-01-20,Q2,5:44,Aliyah Boston misses two point shot,21,21,Vinyl,Aliyah Boston
m9sh1b3jm0p1,2025-01-20,Q2,5:43,Natisha Hiedeman defensive rebound,21,21,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q2,5:25,Phantom  shot clock violation turnover,21,21,Phantom,Phantom  shot clock violation
m9sh1b3jm0p1,2025-01-20,Q2,5:11,Rhyne Howard assist,21,21,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,5:11,Dearica Hamby makes two point shot,21,23,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,5:01,Sabrina Ionescu makes two point shot,23,23,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q2,4:54,Satou Sabally personal foul,23,23,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q2,4:54,Dearica Hamby makes free throw (2pt.),23,25,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,4:45,Natasha Cloud misses three point shot,23,25,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q2,4:44,Dearica Hamby defensive rebound,23,25,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,4:37,Rhyne Howard makes two point shot,23,27,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,4:26,Rhyne Howard personal foul,23,27,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,4:24,Satou Sabally misses free throw (2pt.),23,27,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q2,4:23,Dearica Hamby defensive rebound,23,27,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,4:18,Arike Ogunbowale makes two point shot,23,29,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q2,4:08,Sabrina Ionescu makes three point shot,26,29,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q2,4:08,Satou Sabally assist,26,29,Phantom,Satou Sabally
m9sh1b3jm0p1,2025-01-20,Q2,3:59,Sabrina Ionescu personal foul,26,29,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q2,3:51,Arike Ogunbowale misses three point shot,26,29,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q2,3:50,Dearica Hamby offensive rebound,26,29,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,3:48,Dearica Hamby makes two point shot,26,31,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,3:33,Katie Lou Samuelson assist,26,31,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q2,3:33,Sabrina Ionescu makes two point shot,28,31,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q2,3:18,Dearica Hamby makes two point shot,28,33,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,3:18,Arike Ogunbowale assist,28,33,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q2,3:08,Natasha Cloud  bad pass turnover,28,33,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q2,1:30,Timeout,28,33,,
m9sh1b3jm0p1,2025-01-20,Q2,2:56,Rhyne Howard makes three point shot,28,36,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,2:56,Dearica Hamby assist,28,36,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,2:44,Natasha Cloud makes two point shot,30,36,Phantom,Natasha Cloud
m9sh1b3jm0p1,2025-01-20,Q2,2:31,Arike Ogunbowale makes two point shot,30,38,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q2,2:20,Katie Lou Samuelson misses three point shot,30,38,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q2,2:18,Dearica Hamby defensive rebound,30,38,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,2:12,Arike Ogunbowale assist,30,38,Vinyl,Arike Ogunbowale
m9sh1b3jm0p1,2025-01-20,Q2,2:12,Dearica Hamby makes two point shot,30,40,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,2:00,Katie Lou Samuelson makes two point shot,32,40,Phantom,Katie Lou Samuelson
m9sh1b3jm0p1,2025-01-20,Q2,2:00,Sabrina Ionescu assist,32,40,Phantom,Sabrina Ionescu
m9sh1b3jm0p1,2025-01-20,Q2,1:44,Rhyne Howard misses two point shot,32,40,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,1:43,Phantom defensive team rebound,32,40,Phantom,
m9sh1b3jm0p1,2025-01-20,Q2,1:32,Natisha Hiedeman misses three point shot,32,40,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q2,1:31,Rhyne Howard defensive rebound,32,40,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,1:24,Dearica Hamby makes two point shot,32,42,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,1:24,Natisha Hiedeman personal foul,32,42,Phantom,Natisha Hiedeman
m9sh1b3jm0p1,2025-01-20,Q2,1:24,Rhyne Howard assist,32,42,Vinyl,Rhyne Howard
m9sh1b3jm0p1,2025-01-20,Q2,1:22,Dearica Hamby misses free throw (1pt.),32,42,Vinyl,Dearica Hamby
m9sh1b3jm0p1,2025-01-20,Q2,1:21,Sabrina Ionescu defensive rebound,32,42,Phantom,Sabrina Ionescu
