game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
o2o27kwyy1z5,2025-01-25,Q1,,Timeout,0,0,,
o2o27kwyy1z5,2025-01-25,Q1,7:00,Jumpball (Phantom gains possesion),0,0,Phantom,
o2o27kwyy1z5,2025-01-25,Q1,6:46,Katie Lou Samuelson misses two point shot,0,0,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,6:45,Allisha Gray defensive rebound,0,0,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,6:37,Allisha Gray misses two point shot,0,0,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,6:36,Katie Lou Samuelson defensive rebound,0,0,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,6:29,Natasha Cloud assist,0,0,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,6:29,Satou Sabally makes two point shot,2,0,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,6:18,Skylar Diggins-Smith makes two point shot,2,2,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,6:04,Satou Sabally makes two point shot,4,2,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,6:04,Natasha Cloud assist,4,2,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,5:56,Skylar Diggins-Smith misses three point shot,4,2,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,5:55,Satou Sabally defensive rebound,4,2,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,5:48,Satou Sabally misses three point shot,4,2,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,5:48,Allisha Gray defensive rebound,4,2,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,5:38,Napheesa Collier makes two point shot,4,4,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,5:38,Skylar Diggins-Smith assist,4,4,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,5:29,Allisha Gray personal foul,4,4,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,5:23,Natasha Cloud misses two point shot,4,4,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,5:22,Natasha Cloud offensive rebound,4,4,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,5:17,Napheesa Collier personal foul,4,4,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,5:12,Allisha Gray personal foul,4,4,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,5:12,Katie Lou Samuelson makes two point shot,6,4,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,5:12,Satou Sabally assist,6,4,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,5:12,Katie Lou Samuelson misses free throw (1pt.),6,4,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,5:10,Napheesa Collier defensive rebound,6,4,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,5:07,Natasha Cloud personal foul,6,4,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,5:07,Skylar Diggins-Smith makes free throw (2pt.),6,6,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,4:59,Satou Sabally  lost ball turnover,6,6,Phantom,Satou Sabally  lost ball
o2o27kwyy1z5,2025-01-25,Q1,4:54,Allisha Gray makes three point shot,6,9,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,4:54,Napheesa Collier assist,6,9,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,4:39,Natasha Cloud misses three point shot,6,9,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,4:38,Natasha Cloud offensive rebound,6,9,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,4:32,Satou Sabally misses three point shot,6,9,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,4:31,Napheesa Collier defensive rebound,6,9,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,4:25,Napheesa Collier makes two point shot,6,11,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,4:13,Satou Sabally personal foul,6,11,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,4:13,Satou Sabally  offensive foul turnover,6,11,Phantom,Satou Sabally  offensive foul
o2o27kwyy1z5,2025-01-25,Q1,4:06,Allisha Gray misses three point shot,6,11,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,4:06,Katie Lou Samuelson defensive rebound,6,11,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,3:58,Katie Lou Samuelson makes two point shot,8,11,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,3:51,Skylar Diggins-Smith misses two point shot,8,11,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,3:51,Satou Sabally defensive rebound,8,11,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,3:39,Natasha Cloud misses three point shot,8,11,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,3:38,Napheesa Collier defensive rebound,8,11,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,3:30,Allisha Gray misses two point shot,8,11,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,3:29,Satou Sabally defensive rebound,8,11,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,3:27,Satou Sabally  bad pass turnover,8,11,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,3:23,Skylar Diggins-Smith makes two point shot,8,13,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,3:23,Allisha Gray assist,8,13,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,3:10,Natasha Cloud assist,8,13,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,3:10,Katie Lou Samuelson makes three point shot,11,13,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,3:03,Natasha Cloud personal foul,11,13,Phantom,Natasha Cloud
o2o27kwyy1z5,2025-01-25,Q1,3:03,Skylar Diggins-Smith makes free throw (2pt.),11,15,Lunar Owls,
o2o27kwyy1z5,2025-01-25,Q1,2:49,Satou Sabally misses two point shot,11,15,Phantom,Satou Sabally
o2o27kwyy1z5,2025-01-25,Q1,2:49,Napheesa Collier defensive rebound,11,15,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,2:39,Courtney Williams assist,11,15,Lunar Owls,Courtney Williams
o2o27kwyy1z5,2025-01-25,Q1,2:39,Napheesa Collier makes three point shot,11,18,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,2:29,Natisha Hiedeman  travel turnover,11,18,Phantom,Natisha Hiedeman  travel
o2o27kwyy1z5,2025-01-25,Q1,2:17,Allisha Gray makes three point shot,11,21,Lunar Owls,Allisha Gray
o2o27kwyy1z5,2025-01-25,Q1,2:14,Phantom Full timeout,11,21,Phantom,
o2o27kwyy1z5,2025-01-25,Q1,2:00,Brittney Griner misses two point shot,11,21,Phantom,Brittney Griner
o2o27kwyy1z5,2025-01-25,Q1,1:59,Shakira Austin defensive rebound,11,21,Lunar Owls,Shakira Austin
o2o27kwyy1z5,2025-01-25,Q1,1:54,Courtney Williams misses two point shot,11,21,Lunar Owls,Courtney Williams
o2o27kwyy1z5,2025-01-25,Q1,1:53,Napheesa Collier offensive rebound,11,21,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,1:48,Napheesa Collier makes two point shot,11,23,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,1:37,Brittney Griner misses two point shot,11,23,Phantom,Brittney Griner
o2o27kwyy1z5,2025-01-25,Q1,1:37,Napheesa Collier defensive rebound,11,23,Lunar Owls,Napheesa Collier
o2o27kwyy1z5,2025-01-25,Q1,1:28,Courtney Williams misses two point shot,11,23,Lunar Owls,Courtney Williams
o2o27kwyy1z5,2025-01-25,Q1,1:28,Phantom defensive team rebound,11,23,Phantom,
o2o27kwyy1z5,2025-01-25,Q1,1:09,Brittney Griner misses two point shot,11,23,Phantom,Brittney Griner
o2o27kwyy1z5,2025-01-25,Q1,1:08,Shakira Austin defensive rebound,11,23,Lunar Owls,Shakira Austin
o2o27kwyy1z5,2025-01-25,Q1,1:02,Shakira Austin misses two point shot,11,23,Lunar Owls,Shakira Austin
o2o27kwyy1z5,2025-01-25,Q1,1:01,Katie Lou Samuelson defensive rebound,11,23,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,0:54.2,Katie Lou Samuelson misses three point shot,11,23,Phantom,Katie Lou Samuelson
o2o27kwyy1z5,2025-01-25,Q1,0:54.2,Phantom offensive team rebound,11,23,Phantom,
