game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
zfxe4imyud75,2025-01-31,Q1,,Timeout,0,0,,
zfxe4imyud75,2025-01-31,Q1,7:00,Jumpball (Rose gains possesion),0,0,Rose,
zfxe4imyud75,2025-01-31,Q1,6:46,Chelsea Gray misses two point shot,0,0,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,6:45,Angel Reese offensive rebound,0,0,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q1,6:43,Angel Reese makes two point shot,2,0,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q1,6:29,Natasha Cloud makes two point shot,2,2,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q1,6:16,Chelsea Gray misses two point shot,2,2,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,6:15,Rose offensive team rebound,2,2,Rose,
zfxe4imyud75,2025-01-31,Q1,6:11,Angel Reese personal foul,2,2,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q1,5:59,Satou Sabally makes three point shot,2,5,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,5:59,Sabrina Ionescu assist,2,5,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q1,5:42,Angel Reese  bad pass turnover,2,5,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q1,5:28,Satou Sabally misses three point shot,2,5,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,5:27,Kahleah Copper defensive rebound,2,5,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q1,5:20,Kahleah Copper misses two point shot,2,5,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q1,5:19,Satou Sabally defensive rebound,2,5,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,5:15,Chelsea Gray personal foul,2,5,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,5:14,Satou Sabally misses free throw (2pt.),2,5,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,5:13,Kahleah Copper defensive rebound,2,5,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q1,4:58,Chelsea Gray misses two point shot,2,5,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,4:56,Sabrina Ionescu defensive rebound,2,5,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q1,4:52,Satou Sabally makes two point shot,2,7,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,4:52,Sabrina Ionescu assist,2,7,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q1,4:42,Kahleah Copper makes two point shot,4,7,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q1,4:29,Satou Sabally misses two point shot,4,7,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,4:28,Kahleah Copper defensive rebound,4,7,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q1,4:20,Satou Sabally personal foul,4,7,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q1,4:20,Angel Reese makes free throw (2pt.),6,7,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q1,4:04,Brittney Griner makes two point shot,6,9,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,4:04,Natasha Cloud assist,6,9,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q1,3:55,Kahleah Copper misses two point shot,6,9,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q1,3:54,Brittney Griner defensive rebound,6,9,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,3:43,Brittney Griner  out of bounds turnover,6,9,Phantom,Brittney Griner  out of bounds
zfxe4imyud75,2025-01-31,Q1,3:30,Azurá Stevens makes two point shot,8,9,Rose,
zfxe4imyud75,2025-01-31,Q1,3:15,Katie Lou Samuelson misses two point shot,8,9,Phantom,Katie Lou Samuelson
zfxe4imyud75,2025-01-31,Q1,3:15,Brittney Griner personal foul,8,9,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,3:15,Rose defensive team rebound,8,9,Rose,
zfxe4imyud75,2025-01-31,Q1,3:05,Azurá Stevens misses three point shot,8,9,Rose,
zfxe4imyud75,2025-01-31,Q1,3:05,Sabrina Ionescu defensive rebound,8,9,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q1,2:54,Brittney Griner misses two point shot,8,9,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,2:53,Azurá Stevens defensive rebound,8,9,Rose,
zfxe4imyud75,2025-01-31,Q1,2:45,Azurá Stevens makes two point shot,10,9,Rose,
zfxe4imyud75,2025-01-31,Q1,2:45,Chelsea Gray assist,10,9,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,2:35,Brittney Griner makes two point shot,10,11,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,2:35,Sabrina Ionescu assist,10,11,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q1,2:27,Chelsea Gray misses three point shot,10,11,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,2:26,Azurá Stevens offensive rebound,10,11,Rose,
zfxe4imyud75,2025-01-31,Q1,2:20,Azurá Stevens makes two point shot,12,11,Rose,
zfxe4imyud75,2025-01-31,Q1,2:07,Sabrina Ionescu assist,12,11,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q1,2:07,Brittney Griner makes two point shot,12,13,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,1:52,Chelsea Gray makes two point shot,14,13,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,1:48,Sabrina Ionescu  lost ball turnover,14,13,Phantom,Sabrina Ionescu  lost ball
zfxe4imyud75,2025-01-31,Q1,1:38,Azurá Stevens misses two point shot,14,13,Rose,
zfxe4imyud75,2025-01-31,Q1,1:37,Rose offensive team rebound,14,13,Rose,
zfxe4imyud75,2025-01-31,Q1,1:30,Chelsea Gray misses two point shot,14,13,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,1:29,Brittney Griner defensive rebound,14,13,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,1:20,Brittney Griner misses three point shot,14,13,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,1:20,Rose defensive team rebound,14,13,Rose,
zfxe4imyud75,2025-01-31,Q1,1:09,Azurá Stevens misses three point shot,14,13,Rose,
zfxe4imyud75,2025-01-31,Q1,1:08,Phantom defensive team rebound,14,13,Phantom,
zfxe4imyud75,2025-01-31,Q1,0:57.2,Brittney Griner misses two point shot,14,13,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,0:56.7,Azurá Stevens defensive rebound,14,13,Rose,
zfxe4imyud75,2025-01-31,Q1,0:46.4,Lexie Hull assist,14,13,Rose,Lexie Hull
zfxe4imyud75,2025-01-31,Q1,0:46.4,Chelsea Gray makes three point shot,17,13,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,0:34.8,Brittney Griner  bad pass turnover,17,13,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,0:28.4,Chelsea Gray makes two point shot,19,13,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,0:23.5,Natasha Cloud makes three point shot,19,16,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q1,9.4,Chelsea Gray misses three point shot,19,16,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,8.8,Brittney Griner defensive rebound,19,16,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q1,2.9,Katie Lou Samuelson makes two point shot,19,18,Phantom,Katie Lou Samuelson
zfxe4imyud75,2025-01-31,Q1,2.9,Natasha Cloud assist,19,18,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q1,0.0,Chelsea Gray misses three point shot,19,18,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q1,0.0,Phantom defensive team rebound,19,18,Phantom,
zfxe4imyud75,2025-01-31,Q1,0.0,End of the 1st Quarter,19,18,,
zfxe4imyud75,2025-01-31,Q2,6:43,Natasha Cloud misses two point shot,19,18,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q2,6:42,Kahleah Copper defensive rebound,19,18,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,6:30,Kahleah Copper misses three point shot,19,18,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,6:30,Natasha Cloud defensive rebound,19,18,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q2,6:22,Sabrina Ionescu makes three point shot,19,21,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q2,6:22,Natasha Cloud assist,19,21,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q2,6:11,Angel Reese makes two point shot,21,21,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q2,6:11,Chelsea Gray assist,21,21,Rose,Chelsea Gray
zfxe4imyud75,2025-01-31,Q2,5:52,Satou Sabally misses two point shot,21,21,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q2,5:51,Kahleah Copper defensive rebound,21,21,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,5:46,Kahleah Copper misses two point shot,21,21,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,5:46,Rose offensive team rebound,21,21,Rose,
zfxe4imyud75,2025-01-31,Q2,5:43,Kahleah Copper misses two point shot,21,21,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,5:42,Rose offensive team rebound,21,21,Rose,
zfxe4imyud75,2025-01-31,Q2,5:42,Satou Sabally personal foul,21,21,Phantom,Satou Sabally
zfxe4imyud75,2025-01-31,Q2,5:35,Kahleah Copper misses two point shot,21,21,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,5:35,Phantom defensive team rebound,21,21,Phantom,
zfxe4imyud75,2025-01-31,Q2,5:24,Natasha Cloud misses three point shot,21,21,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q2,5:23,Angel Reese defensive rebound,21,21,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q2,5:09,Kahleah Copper misses two point shot,21,21,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,5:08,Natasha Cloud defensive rebound,21,21,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q2,5:05,Natasha Cloud makes two point shot,21,23,Phantom,Natasha Cloud
zfxe4imyud75,2025-01-31,Q2,4:58,Angel Reese  offensive foul turnover,21,23,Rose,Angel Reese  offensive foul
zfxe4imyud75,2025-01-31,Q2,4:58,Angel Reese personal foul,21,23,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q2,4:47,Brittney Griner  offensive foul turnover,21,23,Phantom,Brittney Griner  offensive foul
zfxe4imyud75,2025-01-31,Q2,4:47,Brittney Griner personal foul,21,23,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q2,4:35,Angel Reese makes two point shot,23,23,Rose,Angel Reese
zfxe4imyud75,2025-01-31,Q2,4:20,Sabrina Ionescu makes three point shot,23,26,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q2,4:03,Kahleah Copper makes two point shot,25,26,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,3:52,Lexie Hull personal foul,25,26,Rose,Lexie Hull
zfxe4imyud75,2025-01-31,Q2,3:52,Sabrina Ionescu misses free throw (2pt.),25,26,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q2,3:51,Kahleah Copper defensive rebound,25,26,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,3:34,Kahleah Copper misses two point shot,25,26,Rose,Kahleah Copper
zfxe4imyud75,2025-01-31,Q2,3:32,Phantom defensive team rebound,25,26,Phantom,
zfxe4imyud75,2025-01-31,Q2,3:23,Sabrina Ionescu makes two point shot,25,28,Phantom,Sabrina Ionescu
zfxe4imyud75,2025-01-31,Q2,3:23,Timeout,25,28,,
zfxe4imyud75,2025-01-31,Q2,3:13,Lexie Hull misses two point shot,25,28,Rose,Lexie Hull
zfxe4imyud75,2025-01-31,Q2,3:12,Brittney Griner defensive rebound,25,28,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q2,2:53,Brittney Griner makes two point shot,25,30,Phantom,Brittney Griner
zfxe4imyud75,2025-01-31,Q2,2:41,Chelsea Gray makes two point shot,27,30,Rose,Chelsea Gray
