game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
zvudhzbxaaiq,2025-02-01,Q1,7:00,Jumpball (Rose gains possesion),0,0,Rose,
zvudhzbxaaiq,2025-02-01,Q1,6:46,Kahleah Copper misses two point shot,0,0,Rose,Kahleah Copper
zvudhzbxaaiq,2025-02-01,Q1,6:46,Laces defensive team rebound,0,0,Laces,
zvudhzbxaaiq,2025-02-01,Q1,6:31,Chelsea Gray personal foul,0,0,Rose,Chelsea Gray
zvudhzbxaaiq,2025-02-01,Q1,6:24,Tiffany Hayes misses two point shot,0,0,Laces,Tiffany Hayes
zvudhzbxaaiq,2025-02-01,Q1,6:24,Angel Reese defensive rebound,0,0,Rose,Angel Reese
zvudhzbxaaiq,2025-02-01,Q1,6:19,Angel Reese misses two point shot,0,0,Rose,Angel Reese
zvudhzbxaaiq,2025-02-01,Q1,6:19,Stefanie Dolson defensive rebound,0,0,Laces,Stefanie Dolson
zvudhzbxaaiq,2025-02-01,Q1,6:09,Stefanie Dolson makes two point shot,2,0,Laces,Stefanie Dolson
zvudhzbxaaiq,2025-02-01,Q1,6:09,Kayla McBride assist,2,0,Laces,Kayla McBride
zvudhzbxaaiq,2025-02-01,Q1,5:54,Chelsea Gray makes two point shot,2,2,Rose,Chelsea Gray
zvudhzbxaaiq,2025-02-01,Q1,5:35,Stefanie Dolson misses three point shot,2,2,Laces,Stefanie Dolson
zvudhzbxaaiq,2025-02-01,Q1,5:35,Kahleah Copper defensive rebound,2,2,Rose,Kahleah Copper
zvudhzbxaaiq,2025-02-01,Q1,5:27,Kahleah Copper  bad pass turnover,2,2,Rose,Kahleah Copper
zvudhzbxaaiq,2025-02-01,Q1,5:10,Tiffany Hayes misses two point shot,2,2,Laces,Tiffany Hayes
zvudhzbxaaiq,2025-02-01,Q1,5:09,Angel Reese defensive rebound,2,2,Rose,Angel Reese
zvudhzbxaaiq,2025-02-01,Q1,5:02,Chelsea Gray makes two point shot,2,4,Rose,Chelsea Gray
zvudhzbxaaiq,2025-02-01,Q1,5:02,Chelsea Gray assist,2,4,Rose,Chelsea Gray
zvudhzbxaaiq,2025-02-01,Q1,4:50,Stefanie Dolson misses two point shot,2,4,Laces,Stefanie Dolson
zvudhzbxaaiq,2025-02-01,Q1,4:50,Angel Reese defensive rebound,2,4,Rose,Angel Reese
zvudhzbxaaiq,2025-02-01,Q1,4:40,Chelsea Gray misses two point shot,2,4,Rose,Chelsea Gray
zvudhzbxaaiq,2025-02-01,Q1,4:39,Tiffany Hayes defensive rebound,2,4,Laces,Tiffany Hayes
zvudhzbxaaiq,2025-02-01,Q1,4:32,Tiffany Hayes misses three point shot,2,4,Laces,Tiffany Hayes
