game_id,player_name,team,opponent,min,reb,offensive_rebounds,defensive_rebounds,ast,stl,blk,turnovers,pf,pts,game_date,fg_m,fg_a,three_pt_m,three_pt_a,ft_m,ft_a
3bofd398uen2,"Alyssa Thomas",Laces,Rose,0,0,0,0,0,0,0,0,0,0,2025-01-27,0,0,0,0,0,0
3bofd398uen2,"Angel Reese",Rose,Laces,15,7,3,4,2,2,0,4,6,14,2025-01-27,2,4,0,1,5,6
3bofd398uen2,"Azura Stevens",Rose,Laces,6,6,0,6,0,0,0,0,2,5,2025-01-27,2,10,1,6,0,0
3bofd398uen2,"Brittney Sykes",Rose,Laces,12,6,3,3,1,1,0,1,2,16,2025-01-27,5,11,2,6,2,3
3bofd398uen2,"Chelsea Gray",Rose,Laces,15,7,0,7,5,2,0,1,3,7,2025-01-27,2,13,1,5,1,1
3bofd398uen2,"Jackie Young",Laces,Rose,0,0,0,0,0,0,0,0,0,0,2025-01-27,0,0,0,0,0,0
3bofd398uen2,"Kahleah Copper",Rose,Laces,14,6,1,5,0,0,0,1,5,8,2025-01-27,3,12,0,3,1,1
3bofd398uen2,"Kate Martin",Laces,Rose,16,6,2,4,0,0,0,2,4,5,2025-01-27,2,7,1,5,0,1
3bofd398uen2,"Kayla Mcbride",Laces,Rose,20,9,0,9,3,0,0,1,1,31,2025-01-27,8,18,4,10,5,5
3bofd398uen2,"Lexie Hull",Rose,Laces,10,0,0,0,2,0,0,1,3,5,2025-01-27,1,7,1,5,1,1
3bofd398uen2,"Natisha Hiedeman",Laces,Rose,2,0,0,0,0,0,0,1,1,0,2025-01-27,0,1,0,0,0,0
3bofd398uen2,"Stefanie Dolson",Laces,Rose,15,6,2,4,4,0,2,2,6,9,2025-01-27,2,2,1,1,2,2
3bofd398uen2,"Tiffany Hayes",Laces,Rose,19,11,2,9,3,1,0,5,5,24,2025-01-27,8,24,1,8,4,6
6vgjcmphd6wm,"Aaliyah Edwards",Mist,Phantom,7,3,1,2,0,0,0,2,2,8,2025-01-24,3,3,0,0,1,2
6vgjcmphd6wm,"Breanna Stewart",Mist,Phantom,18,11,1,10,3,2,0,1,0,27,2025-01-24,8,17,2,7,5,6
6vgjcmphd6wm,"Brittney Griner",Phantom,Mist,15,9,1,8,1,1,0,0,0,29,2025-01-24,14,18,0,0,1,1
6vgjcmphd6wm,"Courtney Vandersloot",Mist,Phantom,13,7,4,3,4,0,0,2,1,8,2025-01-24,3,12,0,5,1,1
6vgjcmphd6wm,"Dijonai Carrington",Mist,Phantom,0,0,0,0,0,0,0,0,0,0,2025-01-24,0,0,0,0,0,0
6vgjcmphd6wm,"Jewell Loyd",Mist,Phantom,0,0,0,0,0,0,0,0,0,0,2025-01-24,0,0,0,0,0,0
6vgjcmphd6wm,"Katie Lou Samuelson",Phantom,Mist,14,3,1,2,4,1,0,0,3,6,2025-01-24,3,7,0,2,0,0
6vgjcmphd6wm,"Marina Mabrey",Phantom,Mist,0,0,0,0,0,0,0,0,0,0,2025-01-24,0,0,0,0,0,0
6vgjcmphd6wm,"Nalyssa Smith",Mist,Phantom,5,0,0,0,1,0,0,1,3,2,2025-01-24,1,2,0,0,0,0
6vgjcmphd6wm,"Natasha Cloud",Phantom,Mist,15,7,0,7,9,0,0,3,0,6,2025-01-24,3,12,0,4,0,0
6vgjcmphd6wm,"Natisha Hiedeman",Phantom,Mist,6,2,1,1,3,0,0,0,1,4,2025-01-24,1,3,0,2,1,1
6vgjcmphd6wm,"Rickea Jackson",Mist,Phantom,18,4,1,3,1,1,0,1,3,24,2025-01-24,10,21,2,6,1,1
6vgjcmphd6wm,"Sabrina Ionescu",Phantom,Mist,0,0,0,0,0,0,0,0,0,0,2025-01-24,0,0,0,0,0,0
6vgjcmphd6wm,"Satou Sabally",Phantom,Mist,12,3,1,2,1,0,0,5,6,29,2025-01-24,10,17,5,6,2,2
9t71p5ri5690,"Aaliyah Edwards",Mist,Laces,4,3,1,2,1,1,1,0,1,0,2025-01-20,0,1,0,0,0,1
9t71p5ri5690,"Alyssa Thomas",Laces,Mist,13,15,2,13,4,1,1,2,3,12,2025-01-20,6,13,0,0,0,0
9t71p5ri5690,"Breanna Stewart",Mist,Laces,14,13,1,12,3,0,2,2,1,17,2025-01-20,7,17,0,4,2,3
9t71p5ri5690,"Courtney Vandersloot",Mist,Laces,11,6,1,5,1,2,1,2,2,5,2025-01-20,2,11,1,5,0,0
9t71p5ri5690,"Dijonai Carrington",Mist,Laces,7,3,0,3,2,3,1,3,3,2,2025-01-20,1,10,0,3,0,1
9t71p5ri5690,"Jackie Young",Laces,Mist,0,0,0,0,0,0,0,0,0,0,2025-01-20,0,0,0,0,0,0
9t71p5ri5690,"Jewell Loyd",Mist,Laces,12,4,2,2,0,0,0,2,1,10,2025-01-20,5,8,0,1,0,0
9t71p5ri5690,"Kate Martin",Laces,Mist,10,4,0,4,3,3,0,1,2,10,2025-01-20,2,10,2,7,2,2
9t71p5ri5690,"Kayla Mcbride",Laces,Mist,15,7,1,6,3,1,0,2,1,21,2025-01-20,9,22,2,7,1,1
9t71p5ri5690,"Rickea Jackson",Mist,Laces,9,3,0,3,0,0,0,2,2,9,2025-01-20,3,10,1,2,1,1
9t71p5ri5690,"Stefanie Dolson",Laces,Mist,6,4,0,4,0,0,0,1,1,4,2025-01-20,2,4,0,1,0,0
9t71p5ri5690,"Tiffany Hayes",Laces,Mist,13,7,1,6,0,0,0,2,2,16,2025-01-20,6,16,2,4,1,2
b0zhbxptb17f,"Aliyah Boston",Vinyl,"Lunar Owls",6,4,0,4,3,1,1,0,1,0,2025-02-03,0,1,0,0,0,0
