game_id,game_date,team,opponent,player_name,min,fg,three_pt,ft,reb,offensive_rebounds,defensive_rebounds,ast,stl,blk,turnovers,pf,pts
wmma46sohv96,2025-02-28,Vinyl,Laces,Rhyne Howard,22,9-21,2-8,2-2,6,2,4,2,0,3,3,4,24
wmma46sohv96,2025-02-28,Vinyl,Laces,Dearica Hamby,21,6-11,3-3,1-1,6,2,4,3,1,0,1,3,17
wmma46sohv96,2025-02-28,Vinyl,Laces,Jordin Canada,18,4-15,0-5,1-1,6,1,5,6,1,0,0,2,10
wmma46sohv96,2025-02-28,Vinyl,Laces,Rae Burrell,9,3-6,1-2,0-0,2,1,1,1,1,1,0,2,7
wmma46sohv96,2025-02-28,Vinyl,Laces,Aliyah Boston,12,2-3,0-0,1-2,10,1,9,1,0,1,4,2,6
wmma46sohv96,2025-02-28,Vinyl,Laces,Arike Ogunbowale,0,0,0,0,0,0,0,0,0,0,0,0,0
wmma46sohv96,2025-02-28,Laces,Vinyl,Alyssa Thomas,18,8-11,0-0,0-0,9,2,7,1,0,0,2,4,16
wmma46sohv96,2025-02-28,Laces,Vinyl,Kayla Mcbride,19,5-18,2-8,0-0,3,0,3,2,1,0,1,1,12
wmma46sohv96,2025-02-28,Laces,Vinyl,Tiffany Hayes,14,3-11,1-2,2-3,4,2,2,1,2,0,1,2,11
wmma46sohv96,2025-02-28,Laces,Vinyl,Jackie Young,15,5-7,3-4,1-1,1,0,1,4,0,0,2,4,16
wmma46sohv96,2025-02-28,Laces,Vinyl,Natisha Hiedeman,7,2-5,0-1,0-0,5,1,4,2,0,0,0,0,4
wmma46sohv96,2025-02-28,Laces,Vinyl,Stefanie Dolson,10,2-4,0-2,0-0,4,0,4,1,0,0,2,1,4
wmma46sohv96,2025-02-28,Laces,Vinyl,Betnijah Laney Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0
wmma46sohv96,2025-02-28,Laces,Vinyl,Kate Martin,0,0,0,0,0,0,0,0,0,0,0,0,0
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Breanna Stewart,17,8-14,0-2,3-3,8,0,8,9,3,0,1,1,21
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Rickea Jackson,14,7-12,2-5,2-3,6,0,6,1,2,0,0,5,20
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Jewell Loyd,18,7-10,3-5,1-1,2,1,1,2,0,0,4,1,18
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Courtney Vandersloot,9,5-8,3-5,0-0,2,0,2,2,0,0,2,3,13
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Dijonai Carrington,8,4-7,0-2,1-2,3,0,3,1,1,0,2,5,9
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Aaliyah Edwards,8,2-4,1-1,1-1,7,2,5,3,0,0,0,1,7
hkj9hfyr4qo6,2025-02-28,Mist,Phantom,Nalyssa Smith,0,0,0,0,0,0,0,0,0,0,0,0,0
hkj9hfyr4qo6,2025-02-28,Phantom,Mist,Sabrina Ionescu,19,5-17,3-9,4-4,8,1,7,4,0,0,3,3,20
hkj9hfyr4qo6,2025-02-28,Phantom,Mist,Katie Lou Samuelson,13,3-5,1-2,1-1,2,0,2,2,3,0,2,4,8
hkj9hfyr4qo6,2025-02-28,Phantom,Mist,Satou Sabally,11,2-7,0-1,0-2,3,0,3,2,0,1,0,3,4
hkj9hfyr4qo6,2025-02-28,Phantom,Mist,Brittney Griner,14,11-14,2-2,0-0,3,1,2,0,1,0,4,2,24
hkj9hfyr4qo6,2025-02-28,Phantom,Mist,Natasha Cloud,16,1-10,0-6,2-3,6,2,4,4,1,0,3,2,6
hkj9hfyr4qo6,2025-02-28,Phantom,Mist,Marina Mabrey,0,0,0,0,0,0,0,0,0,0,0,0,0
