player_id,name,player_url,team,position,headshot_url,gp,min,pts,offensive_rebounds,defensive_rebounds,reb,ast,stl,blk,turnovers,pf
,Napheesa Collier,/player/napheesa-collier-bcggk95vccg5,Lunar Owls,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/napheesa-collier/images/lunar-owls-headshot.jpg?v=1738721238937,10,18.0,26.6,1.5,9.6,11.1,3.1,2.0,1.2,1.4,3.7
224447,Kayla McBride,/player/kayla-mcbride-8jp766iviaj1,Laces,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/kayla-mcbride/images/laces-headshot.jpg?v=1738721238937,10,19.7,22.7,0.6,5.6,6.2,2.7,1.1,0.0,1.8,1.4
,Dearica Hamby,/player/dearica-hamby-4prx3vxu62om,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/dearica-hamby/images/vinyl-headshot.jpg?v=1738721238937,9,16.0,20.8,2.1,7.2,9.3,2.3,1.3,0.3,2.4,3.3
,Rhyne Howard,/player/rhyne-howard-4oadwt7gp636,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/rhyne-howard/images/vinyl-headshot.jpg?v=1738721238937,10,17.5,20.4,0.9,4.0,4.9,1.9,1.6,0.9,1.6,3.3
,Allisha Gray,/player/allisha-gray-5df4bg3v8c9g,Lunar Owls,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/allisha-gray/images/lunar-owls-headshot.jpg?v=1738721238937,10,16.3,20.1,0.7,5.1,5.8,2.6,1.1,0.2,1.6,3.3
,Chelsea Gray,/player/chelsea-gray-r6go6kmzp23j,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/chelsea-gray/images/rose-headshot.jpg?v=1738721238937,10,16.6,19.1,0.8,4.1,4.9,5.8,0.6,0.1,2.6,2.0
224457,Breanna Stewart,/player/breanna-stewart-lqj6yuo4sk42,Mist,F,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/breanna-stewart/images/mist-headshot.jpg?v=1738721238937,11,15.9,18.8,0.9,10.4,11.3,3.4,1.4,0.7,1.5,1.9
224470,Sabrina Ionescu,/player/sabrina-ionescu-m4x8h3sdj1ki,Phantom,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/sabrina-ionescu/images/phantom-headshot.jpg?v=1738721238937,9,19.4,18.0,1.6,5.4,7.0,4.1,0.6,0.3,1.7,1.8
224446,Tiffany Hayes,/player/tiffany-hayes-pfchl0hhtbmu,Laces,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/tiffany-hayes/images/laces-headshot.jpg?v=1738721238937,7,13.1,17.4,1.1,4.3,5.4,3.3,1.4,0.0,1.9,3.1
,Skylar Diggins-Smith,/player/skylar-diggins-smith-rkjud3az38vq,Lunar Owls,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/skylar-diggins-smith/images/lunar-owls-headshot.jpg?v=1738721238937,10,13.7,17.0,1.1,1.5,2.6,4.3,1.6,0.1,1.3,3.6
224467,Brittney Griner,/player/brittney-griner-d1eqm09591g4,Phantom,F,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/brittney-griner/images/phantom-headshot.jpg?v=1738721238937,11,16.3,16.7,0.7,4.7,5.5,0.7,0.3,1.5,2.0,1.8
,Kahleah Copper,/player/kahleah-copper-2k18gfn8wsmb,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/kahleah-copper/images/rose-headshot.jpg?v=1738721238937,7,13.3,16.6,1.0,5.6,6.6,0.6,0.7,0.1,1.9,3.0
224465,Satou Sabally,/player/satou-sabally-0ygbxjbwjcpd,Phantom,F,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/satou-sabally/images/phantom-headshot.jpg?v=1738721238937,11,14.4,15.6,0.8,4.8,5.6,2.3,0.5,0.2,2.5,3.5
,Betnijah Laney-Hamilton,/player/betnijah-laney-hamilton-q49px955qk0e,Laces,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/betnijah-laney-hamilton/images/laces-headshot.jpg?v=1738721238937,2,17.5,15.5,0.0,2.5,2.5,1.5,0.5,0.0,2.0,2.0
224445,Jackie Young,/player/jackie-young-cbba3mtca702,Laces,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/jackie-young/images/laces-headshot.jpg?v=1738721238937,3,11.3,14.7,0.0,1.3,1.3,3.3,0.7,0.0,0.7,3.3
224464,Rickea Jackson,/player/rickea-jackson-tuum4vu1htu2,Mist,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/rickea-jackson/images/mist-headshot.jpg?v=1738721238937,11,12.5,14.2,1.0,3.1,4.1,0.9,0.5,0.5,1.5,2.4
224448,Alyssa Thomas,/player/alyssa-thomas-0ehynljdh7k1,Laces,F,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/alyssa-thomas/images/laces-headshot.jpg?v=1738721238937,5,17.4,14.0,2.6,7.8,10.4,3.6,0.8,0.2,1.8,2.2
224461,Jewell Loyd,/player/jewell-loyd-a9clu4l00da0,Mist,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/jewell-loyd/images/mist-headshot.jpg?v=1738721238937,10,13.1,13.9,1.0,1.9,2.9,2.7,0.4,0.2,2.0,1.8
,Angel Reese,/player/angel-reese-9k51f4h7ob2w,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/angel-reese/images/rose-headshot.jpg?v=1738721238937,10,14.1,13.2,3.7,8.0,11.7,2.0,0.8,0.4,2.0,3.9
,Azura Stevens,/player/azura-stevens-8q6luxytgxxj,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/azura-stevens/images/rose-headshot.jpg?v=1738721238937,8,9.9,12.6,1.9,5.5,7.4,1.1,0.5,0.5,0.8,2.0
,Arike Ogunbowale,/player/arike-ogunbowale-r9p1g69osavq,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/arike-ogunbowale/images/vinyl-headshot.jpg?v=1738721238937,7,12.9,11.1,0.1,2.9,3.0,3.7,0.9,0.3,0.9,2.4
,Brittney Sykes,/player/brittney-sykes-5r0ujro9gsjp,Rose,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/brittney-sykes/images/rose-headshot.jpg?v=1738721238937,8,11.6,10.5,1.0,2.1,3.1,1.8,0.4,0.0,1.9,3.4
,Jordin Canada,/player/jordin-canada-t38wmgweal5r,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/jordin-canada/images/vinyl-headshot.jpg?v=1738721238937,9,12.0,9.7,1.1,2.7,3.8,3.6,0.7,0.0,1.2,1.7
224459,Courtney Vandersloot,/player/courtney-vandersloot-ely1fqoqbhak,Mist,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/courtney-vandersloot/images/mist-headshot.jpg?v=1738721238937,11,10.3,9.6,0.5,2.8,3.3,3.2,0.5,0.3,1.4,2.0
,Courtney Williams,/player/courtney-williams-v723cso81wi3,Lunar Owls,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/courtney-williams/images/lunar-owls-headshot.jpg?v=1738721238937,10,9.3,9.5,0.3,3.6,3.9,4.6,0.3,0.2,0.4,2.0
224468,Natasha Cloud,/player/natasha-cloud-pwrq626gh7a3,Phantom,G,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/natasha-cloud/images/phantom-headshot.jpg?v=1738721238937,11,14.3,9.3,0.7,4.5,5.3,5.1,0.5,0.1,1.9,2.3
,Rae Burrell,/player/rae-burrell-2pg47b3qi9z6,Vinyl,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/rae-burrell/images/vinyl-headshot.jpg?v=1738721238937,10,9.0,8.9,0.5,1.6,2.1,1.5,0.8,0.6,0.8,1.4
224463,Aaliyah Edwards,/player/aaliyah-edwards-vuytsg7bv3o1,Mist,F,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/aaliyah-edwards/images/mist-headshot.jpg?v=1738721238937,11,8.4,8.1,1.1,4.3,5.4,1.1,0.5,0.5,1.5,2.5
,Stefanie Dolson,/player/stefanie-dolson-2r5g7wdpfzkf,Laces,Unknown,https://pub-ad8cc693759b4b55a181a76af041efa0.r2.dev/players/stefanie-dolson/images/laces-headshot.jpg?v=1738721238937,10,14.4,7.9,0.9,4.0,4.9,1.1,0.2,0.6,1.6,2.3
